Time(s);RTF
100.30;1.04
100.40;1.00
100.50;0.99
100.60;1.00
100.70;1.03
100.80;0.96
100.90;1.01
101.00;1.01
101.10;1.00
101.20;0.97
101.30;0.99
101.40;1.02
101.50;1.00
101.60;1.00
101.70;1.04
101.80;0.99
101.90;0.99
102.00;1.00
102.10;0.99
102.20;0.98
102.30;1.04
102.40;1.00
102.50;1.00
102.60;1.00
102.70;0.99
102.80;1.03
102.90;0.99
103.00;0.95
103.10;1.02
103.20;0.98
103.30;1.04
103.40;1.00
103.50;0.98
103.60;1.00
103.70;1.03
103.80;0.99
103.90;0.96
104.00;1.02
104.10;1.01
104.20;1.01
104.30;0.98
104.40;1.03
104.50;0.97
104.60;1.02
104.70;0.97
104.80;1.02
104.90;0.97
105.00;1.02
105.10;1.01
105.20;0.99
105.30;1.00
105.40;0.97
105.50;1.00
105.60;1.02
105.70;0.98
105.80;1.05
105.90;1.00
106.00;0.99
106.10;0.97
106.20;1.03
106.30;1.01
106.40;0.98
106.50;1.01
106.60;1.00
106.70;0.98
106.80;1.02
106.90;1.04
107.00;0.97
107.10;1.01
107.20;1.02
107.30;0.98
107.40;1.00
107.50;1.02
107.60;0.98
107.70;1.00
107.80;1.00
107.90;1.02
108.00;0.98
108.10;1.00
108.20;1.00
108.30;1.00
108.40;1.00
108.50;0.99
108.60;1.00
108.70;1.00
108.80;0.99
108.90;1.01
109.00;1.02
109.10;1.01
109.20;0.97
109.30;1.00
109.40;1.01
109.50;0.96
109.60;1.05
109.70;0.99
109.80;1.01
109.90;0.99
110.00;1.00
110.10;0.98
110.20;1.04
110.30;0.97
110.40;1.02
110.50;0.97
110.60;1.01
110.70;1.01
110.80;0.99
110.90;0.99
111.00;1.01
111.10;1.02
111.20;0.99
111.30;0.98
111.40;1.02
111.50;1.01
111.60;1.01
111.70;0.96
111.80;1.04
111.90;0.99
112.00;1.00
112.10;1.00
112.20;0.99
112.30;0.97
112.40;1.05
112.50;0.98
112.60;1.01
112.70;1.00
112.80;0.97
112.90;1.02
113.00;1.01
113.10;0.96
113.20;1.00
113.30;1.01
113.40;1.03
113.50;0.99
113.60;1.01
113.70;1.00
113.80;1.04
113.90;0.96
114.00;0.98
114.10;1.05
114.20;0.98
114.30;1.01
114.40;0.96
114.50;1.04
114.60;1.00
114.70;1.01
114.80;0.98
114.90;1.03
115.00;0.97
115.10;1.01
115.20;1.00
115.30;1.00
115.40;1.02
115.50;1.00
115.60;1.00
115.70;1.01
115.80;0.93
115.90;1.06
116.00;1.00
116.10;1.02
116.20;0.99
116.30;0.98
116.40;1.00
116.50;0.98
116.60;1.01
116.70;0.98
116.80;1.04
116.90;1.05
117.00;0.97
117.10;1.01
117.20;0.99
117.30;1.00
117.40;1.01
117.50;1.00
117.60;1.00
117.70;0.98
117.80;1.00
117.90;1.00
118.00;1.01
118.10;1.00
118.20;1.00
118.30;0.99
118.40;1.00
118.50;1.02
118.60;0.99
118.70;1.01
118.80;0.99
118.90;1.04
119.00;1.01
119.10;0.98
119.20;0.99
119.30;0.97
119.40;0.99
119.50;1.02
119.60;1.00
119.70;1.00
119.80;0.99
119.90;1.01
